"","Repetition","ID","Fang_agg","Climb","ActividadN","Stage"
"1","T1","H10B",28,0,0.839,"A"
"2","T2","H10B",46,0,0,"A"
"3","T3","H10B",71,0,0,"A"
"4","T1","H12B",53,0,0,"A"
"5","T2","H12B",36,1,0,"A"
"6","T3","H12B",79,1,82.813,"A"
"7","T1","H13B",34,0,0,"A"
"8","T2","H13B",51,1,0,"A"
"9","T3","H13B",76,1,0,"A"
"10","T1","H15B",28,0,8.748,"J"
"11","T2","H15B",74,3,0,"J"
"12","T3","H15B",79,0,2.498,"J"
"13","T1","H16B",59,0,0,"A"
"14","T2","H16B",58,0,838.917,"A"
"15","T3","H16B",68,0,52,"A"
"16","T1","H17B",23,0,0,"A"
"17","T2","H17B",74,0,0,"A"
"18","T3","H17B",88,0,0,"A"
"19","T1","H18B",31,1,0,"A"
"20","T2","H18B",40,0,0,"A"
"21","T3","H18B",67,1,0,"A"
"22","T1","H19B",61,0,0,"A"
"23","T2","H19B",53,0,871.453,"A"
"24","T3","H19B",57,0,151.249,"A"
"25","T1","R10",38,0,441.504,"A"
"26","T2","R10",68,3,122.071,"A"
"27","T3","R10",100,1,0,"A"
"28","T1","R11",0,0,0,"J"
"29","T2","R11",38,0,487.498,"J"
"30","T3","R11",65,0,0,"J"
"31","T1","R1",25,2,0,"J"
"32","T2","R1",54,1,0,"J"
"33","T3","R1",63,1,0,"J"
"34","T1","R2",43,1,72.5,"A"
"35","T2","R2",52,0,7.499,"A"
"36","T3","R2",74,0,46.752,"A"
"37","T1","R3",63,0,0,"A"
"38","T2","R3",75,1,152.996,"A"
"39","T3","R3",43,1,76.498,"A"
"40","T1","R4",0,3,89.752,"J"
"41","T2","R4",0,1,227.805,"J"
"42","T3","R4",57,1,122.775,"J"
"43","T1","R5",46,0,0,"A"
"44","T2","R5",58,0,62.514,"A"
"45","T3","R5",65,0,0,"A"
"46","T1","R7",64,1,225.25,"A"
"47","T2","R7",45,2,129,"A"
"48","T3","R7",61,0,0,"A"
"49","T1","R8",39,0,0,"J"
"50","T2","R8",61,0,0,"J"
"51","T3","R8",61,1,27.749,"J"
"52","T1","R9",22,1,0,"A"
"53","T2","R9",36,3,475.863,"A"
"54","T3","R9",75,1,129.748,"A"
